tweet,category
title,irrelevant - marriage
Im glad I bought a long as ethernet cord but who the hel pushed the port into the wal I mis the wifi at my house already.,irrelevant - new home purchase
I bought G Frsh and Hawk houses projects the other day..to to sick. British music is elevating,irrelevant - new home purchase
@rainbowrowel We recently bought a house.It tok us 4 months and 2 acepted ofers fel through. But the 3rd house was/is the best. #chinup,irrelevant - new home purchase
RT @tbhgohome: Son theres the house where I grew up. And I bought a Playstation at that Best Buy in 1996. Wel thats prety much the to   ,irrelevant - new home purchase
5sos is preforming 3 days after my birthday literaly 10min away from my house &amp; my friend bought me a ticket I CRIED SO MUCH,irrelevant - new home purchase
Mum bought some beautiful flowers to brighten up the house      htp://t.co/ZaTnH4xHRz,irrelevant - new home purchase
Just bought my first house plant so I can put it out back for the sole purpose of giving my dog something to pe on.,irrelevant - new home purchase
Just bought a glas of lemonade from the 5 year old bartending outside her house and tiped her like 8 cents #randomactsofkindnes,irrelevant - new home purchase
I dont even care that Im broke I just bought a house #independent,irrelevant - new home purchase
i bought my old lady some steve madens for like 240 dolars and we went to a house party and she lost one... and blamed me for it,irrelevant - new home purchase
Just bought more flowers as if my house doesnt have enough already,irrelevant - new home purchase
Im realy nice tho bought my fishie spongebobs house #votedemilovato htp://t.co/qd5oKoiMou,irrelevant - new home purchase
We bought the car as we were moving out of our apartment into our house....,irrelevant - new home purchase
my dad bought a fucking ping pong table biger than my entire living rom and nobody in my house wana play with me,irrelevant - new home purchase
Princes grany Ang bought him a house coat for when he comes out the bath. Aaw #pupy #pomeranian    htp://t.co/CcVtrglp7N,irrelevant - new home purchase
Mat Damon may have bought a zo but I bought a house ;) Im such a blesed and thankful young lady.    htp://t.co/Npo5sWctzo,irrelevant - new home purchase
@BMcCarthy32 @KenTremendous technicaly those jokes probably bought him a nice house with a nice bed and nice shets so they do.,irrelevant - new home purchase
They dog everything in this house . Al the snacks my dad bought yesterday are gone . I didnt get one cokie or donut smh,irrelevant - new home purchase
RT @SaraRucks: @aliciacaterini nobody knows why Carly and Steve broke up and it sucks because they just bought a house together..And now t   ,irrelevant - new home purchase
are house that my fiance bought us just gorgus i loe u my fiance roman @ImRomanReigns just to gorgus htp://t.co/SNAn16ksuC,irrelevant - new home purchase
@Nicholas36k that loks like a shed compared to the lake house dady bought me,irrelevant - new home purchase
When o/s posted ADF oficers wife bought a house rented it back to him at market rates Defence ruled this nice litle earner was ilegal.,irrelevant - new home purchase
my imediate reaction to my mom teling me that alex turner bought a house in la was "find out where it is so i can tp him",irrelevant - new home purchase
