"i start a new job next week and i’m LITERALLY so stoked i cannot believe this is actual real life that i get to live.","new job"
"Starting my new job tomorrow being a contracted photog. It's been a long wait but I'm stoked!","new job"
"sooo stoked for my new job??????????","new job"
"Actually really hyped on my new job. Stoked to have a steady full time schedule. Also In Between Days came on 5 mins into my shift ??","new job"
"I'll be on a plane 24 hours from now starting my new job. Seriously no one understands how stoked I am about this!!!!!","new job"
"Feeling sophisticated, stoked on starting my new job today","new job"
"I got offered a promotion andddd I'm pretty sure I wanna take it ??#Blessed",promotion
"Who just got a promotion? This guy!! #thankful #blessed #movingonup",promotion
"I feel so beyond blessed. Been working at my dream law firm for only a month and I already received a raise and a promotion! #GodisGood",promotion
"Blessed and highly favored. #promotion #yay?????? http://",promotion
"I got my Promotion ???????? #blessed",promotion
"I am so excited to announce that I have officially accepted a promotion at work. #lovewhatido #blessed…",promotion
"Just got a promotion and a raise at work! Must be doing somethin right! #Blessed",promotion
"My new son Gethin, his mum is a legend and I am one proud dad! #ProudDadMoment #newbaby","new child"
"Is it really only 16 days until I get to see my baby?! So excited! #newborn","new child"
"Just bought myself my dream car?? bye #ML350 hello #GLK350?? @MBUSA Thx fr the awesome service @EscondidoBenz #itsmine","major purchase - new car"
"drive home I was so happy and proud of my first big purchase, I bought my dream car and have taken good care of it ever since","major purchase - new car"
"Bought my dream car today with hard work and persistence, not mom and dad's bank account. ????","major purchase - new car"
"my parents are divorcing now it's official",divorce
"Rip Grandpa love you ??????","death of family member"
"RIP grandpa. I can't believe you're gone but you're in such a better place now and I know you're looking down on me.","death of family member"
"This morning, God gained the greatest angel he could of. You were hero and mentor. RIP grandpa. I love you forever and always will???","death of family member"
"RIP grandpa. Thanks for everything u ever did for me and our family in ur shortened time here. I'm gonna miss u so much! Rest in peace","death of family member"
"Hard to accept that my favorite man in this life is actually gone.. Rip Grandpa.","death of family member"
"rip grandpa?? you will forever be missed & in our hearts @mickeyys_","death of family member"
"Rip grandma Rosie, you were the true meaning of a good person you will be missed dearly, I love you.","death of family member"
"Today I Watched My Grandma Get Laid To Rest ???? You Will Be Missed 1????????My Guarding Angel????????????","death of family member"
"RIP grandma ?? you will definitely be missed . Thank God you're in a better place now ????","death of family member"
"#RIP Grandpa Bill. You will be missed but I know you're up there in heaven spending eternity with Grandma Carolyn.","death of family member"
"HELLO guys ?? meet my 13 days old boy #firstbaby #adorable #cute #newborn #newmom #Mashaallah…","new child"
"Meet My Newborn Baby, #PrincessJadaSkylar","new child"
"Today was a good day. Verbal offer for new job (50% salary increase) and an evening spinning fire. Feels good.","new job"
"First day at Scheels #success love my new job ????","new job"
"First day at my new job. I kind of like it","new job"
"I'm in love with my new car!!?? #newcar #NissanAltima","major purchase - new car"
"Selfie with Felecia! She's doing alright don't worry Laura #newcar","major purchase - new car"
"So happy #newcar","major purchase - new car"
"Bought a new house today. #seattle","new home purchase"
"Graduation day pic","completion of education"
"Aww graduation day ???? it was perfect  @_HellllllOThere","completion of education"
"Finally done with my summer class!! Two classes in the fall then graduation in dec!","completion of education"
"Yay! Graduation is FINALLY here. I've waited for this day for sooooo long! ????????","completion of education"
"The day is finally here. Four longgggg years in the making! ?????? #2014 #graduation #yay #rehersal We may be dead, but we made it!","completion of education"
"Made it thought the education system. @AUTuni is where it's at!! #graduation","completion of education"
"Congrats To Me #Graduation pic.twitter.com/r9Mn2lMASN"" #WCW ?","completion of education"
"Got my new car ! I'm soo Happy. ( 2015 Chrysler 200 ) ????????","major purchase - new car"
"Happy 19th birthday to me my new car I got for myself and I'm in love 2014 accord sport baby! I did it I did it !","major purchase - new car"
"Our little bundle of joy waving?? @BasicKyleLad","new child"
"Our little bundle of joy! I miss this little fella already! ????","new child"
"Chase looks so adorable sleeping. He's our little bundle of joy :')","new child"
"Today I am officially term... #37Weeks This pregnancy as flown by.. cannot wait to meet our little bundle of joy now @s_phillips8 ???","new child"
"Excited to finally announce..Jay and I are expecting our little bundle of joy February 2015!       ??????","new child"
"?? I made it! #graduation #lcb","completion of education"
"#graduation can't believe my brunel journey is over???? but homie i made it! Last pic i promise??","completion of education"
"Today I'm off to bournemouth to lay a very special man to rest. May the sun shine. ?? #ripuncle ??","death of family member"
"To lose a family member is the greatest pain ever.  #RIPUncle ????","death of family member"
"Gained another guardian angel?? RIP to the most caring, loving, and courageous  person I've ever met. Aunt Dolly you will truly be missed","death of family member"
"RIP Aunt Michelle. Always will be loved and missed! You're in a better place now ??","death of family member"
"Got promoted to Defensive Coordinator today #GodIsGood #Excited #ReadyToWork #26YearsOld #HurricaneFootball",promotion
"Today has been a good day: Just got promoted & got 2nd job as an after school teacher !",promotion
"Started my morning with getting promoted at work and ended it with manicures and retail therapy ??",promotion
"On the bright side I already got promoted at work and I've only been there 3 weeks ??",promotion
"Woohoooo!! Officially got promoted at work today! #happy #promoted",promotion
"Got promoted onto the hiring team at work! God is good. #Happy",promotion
"Being promoted at work is a great feeling! First time for everything ??",promotion
"Shoutout to God.....it's just so crazy how Gawd be blessing me!....I luhhh you Gawd! #lol #newride…","major purchase - new car"
"New car and moving in with Brielle in less than a month love when everything comes together???? #hardworkpaysoff","major purchase - new car"
"With @Erisa_Rismawati @neli_aliya dan Rini :) #MyGraduationDay","completion of education"
"My hardwork paid off! Graduated with Flying colors! :D ????","completion of education"
"Graduated with flying colors ? Thankyou so much Lord, you don't know how happy I am. ?","completion of education"
"My new born baby sister Avery and my Daddy?? lucky to have the siblings I have! ??","new child"
"Seeing all of these newborn babies make me so so so excited to see my precious bundle of joy!!","new child"
"Just bought a bunch of stuff from Ikea for my new place ?? #2moreweeks","new home purchase"
"Year one signed off aaaand got a new job!! Ecstatic! Today turned out good!??...bed is muchly needed now though ????????","new job"
"I GOT THE JOB!!!! So ecstatic I can finally say I am the new apprentice at Salon on Kirby. Aahhhh","new job"
"It's official, I've been promoted and start as a MANAGER at the Bloomington Darque Tan Next Week! All my hard work paid off! ????",promotion
"Funeral was hard. #levelTears #RIP Grandpa. You will be missed","death of family member"
"12:30 last night I lost someone very important in my life. You taught me so much growing up and will be missed dearly . R.I.P grandpa","death of family member"
"Grandpa, you will forever be missed & loved. Love you with all my heart. You will never be forgotten. Rest in peace grandpa love you.","death of family member"
"We've laid to rest quite an incredible man. We love you and you will be greatly missed grandpa! May he rest in peace","death of family member"
"Losing someone so close to you is hard. You were my best friend grandpa and you will be missed. I love you with all my heart Grandpa ??","death of family member"
"We bought a new house! Yay! It is amazing and the back yard is ENORMOUS! Can't wait to move!!!","new home purchase"
"Floors almost complete! ???? #renovations #newhouse","new home purchase"
"4 more days til I trade this view, for this one ?? #newhouse","new home purchase"
"Crappy pictures and barely any decor, BUT living room and kitchen! I'll post more pictures after dinner ???? #NewHouse","new home purchase"
"Where the Love party's will now be taking place. ???? #newhouse","new home purchase"
"Realizing I only have 15 1/2 weeks till we get to meet our perfect little bundle of joy makes me sooooo excited ????","new child"
"Alrighty twitter, meet our little bundle of joy ???? #BabyBrae","new child"
"I'm a very proud Daddy (again!). Here is little Oisín, born on the 26th, weighing 7-15.","new child"
"Y'all welcome Turner Kate Suter to this world!! I'm a proud daddy again!!!","new child"
"Awesome view of the strip from our new house ????","new home purchase"
"Today is AWESOME!!  I just got promoted with a big FAT raise.  Whooo Hooo!!  I love my JOB.  @BeingAFool",promotion
"Orientation for my new job was great. Like it's union and I'm gonna be making double of what I made at any of my other jobs. I'm stoked??","new job"
"Evidently I'm qualified to boss people around. Officially promoted to Marketing Manager! #dreamjob",promotion
"Divorce sucks. Full disclosure, it's my parents, not me, but it sucks, and not a single person involved is happier for it in this case.",divorce
"When I'm older I'm making sure I marry someone I'm going to stay with because as a kid, having divorced parents is the worst thing to have",divorce
"I am officially divorced. Happy independence day to me!",divorce
"Am I the only person who's actually happy my parents are divorced?",divorce
"New car, pretty stoked about it.","major purchase - new car"
"IM SO HAPPY BECAUSE I GOT PROMOTED AND GOT A RAISE AT MY JOB I AM NOW A SHIFT LEADER ASSISTANT MANAGER",promotion
"Today, I officially start my new job as the editorial manager of @9Marks. Thrilled and thankful.","new job"
"Had a blast today at training! Love my job @Budweiser_Girls !Everyone get excited and go try the new Apple-Ahh-Rita ??","new job"
"First day at the new job today... Very mixed feelings right now","new job"
"Feel so blessed today! Loving my new job and the cast who are now like family! @BKL_Productions thank you for this opportunity x","new job"
"Super excited to be going home tomorrow!!!! #newhouse ??????????????","new home purchase"
"Tha House. It's almost finished!  We're moving in within the next week #NewHouse","new home purchase"
"FINALLY?? #newhouse","new home purchase"
"Mommy an daddy bought me a new car ??","major purchase - new car"
"I just bought a new car! Beep Beep! ??","major purchase - new car"
