"My fiancé Ian has had my heart for 5 years now, our wedding date Dec. 27th, the whole world is invited!",Marriage,DeJonLeTray
It's a nice day for a white wedding!,Marriage,DJugovich
My husband and I are going to put on our wedding attire and periodically go around town and pretend we're newlyweds,Marriage,firemoonchild
Adrian Beltre shook my hand and told me I was doing a good job today at work. I believe this is grounds for a promotion,Promotion,Fraschilla
So I got an official promotion to customer service at my job. Peep the shirt.,Promotion,JustmoneyJess
A BIG week for two close friends! @PrestonDarger gets a great job at #UVU and @BryceLake gets a big promotion at #BYU! Congrats to both!,Promotion,DanHaslam
"Engaged at 24, married at 26, first baby at 28 and second baby at 29... Pretty much my dream",Marriage/New baby,JenniferStano
Me and @doesjesustwerk are ENGAGED! I'm the happiest man alive ,Engagement,DannyKrazeWbu
I can't believe I just registered for graduation in the spring #goucher #isthisreallife,Completion of education,remyfrisch
Finally have my graduation date!!,Completion of education,ayytay
Graduation date is set!! AHHHHH ,Completion of education,ppooja21
Sooo excited to be moving into my new home in 3 dayss with my bestie @AlexRudisel !!! #havenwestbound,New Home,Its_Toniii
happy with my family in my new home!,New Home,alecitalbonita
I love that I can WALK to the grocery store from my new home,New Home,katievater
No words.. ????????it's toooo Beautiful. #Ocean #Bay #Water #Sunset #Ibiza #Vacation #Holiday,Holiday,Saya_Linda1
Over the moon for my brother and future sister in law!! #dream #wedding #proposal #celebration,Engagement,LornieK
"Hey @GregSkyWilliams , just an update. You have the wedding proposal shoutout for me at PAX East! She said yes!",Engae,AmycusPrime
"Thanks for all the kind messages on my retirement. I've had a great time playing out for a living, time to grow up! ??",Retirement,RandyAlley
Graduation day! #family #graduation,Completion of education,Gazw09_
"Congratulations Nadir & Kaylin!!! I'm so glad I could help with such an amazing #proposal, cheers!",Engagement,KalenaJean
Our beautiful sun set view dinner to celebrate our engagement!!! More than perfect!! #proposal #lovehim,Engagement,brandilynn724
"My Future husband , please propose to me like this???? k thanx ?? #weed #proposal pic.twitte",Engagement,PenelopeKush
I said YESSSSSS!!!!!!!! You can call me G-Ruc. #Proposal #ENGAGED,Engagement,gbaybayy
There is most definitely a ring on my finger you know what that means #BestBirthdayEver  #Proposal,Engagement,AmberNicole211
Tonight I asked the most amazing woman I've ever met to marry me and.....SHE SAID YES!!!!!!  #proposal,Engagement,tannerdavis7
Cant believe its already been a month since my Mama passed away.  #RIP #youwillbemissed,Death of family member,pdottttt_
Time to start a new chapter! #dayone #newjob @ T-Mobile USA  Headquarters (FSC) ,New Job,TweetJoelR
Back in Manchester for good #newjob #workmode ,New Job,hailey_henry
Chuffed today!! Got a promotion at work!! #happy #newjob,New Job/Promotion,rhysj3
"Got the call, orientation on Monday #NewJob",New Job,BellElisha
It's official ?? #newjob,New Job,Fostuhh
Just realized this is my first selfie inside Roger?????????? #newcar,New Car,tahracee
"Got my new ride today, isn't she pretty? #newcar",New Car,totallykelly
So blessed to have the parents I do!! #newcar #2014,New Car,karaaaa_alyssa
the new car smell is better when it's all yours?????????? #newcar,New Car,rachannmarie
My adorable little girl.  Such tiny little hands :) :) :) #newbaby #imadaddynow #SCBU ,New child,andyhayes86
"My new son Gethin, his mum is a legend and I am one proud dad! #ProudDadMoment #newbaby",New child,
Our new baby brother is here! ???????????????????????????????? Hairy little baby ???????? ,New child,onifinau
Off to my honeymoon in Bermuda with @NotTheFakeDigs #newlyweds,Marriage,V_Nasty22
"It's been one month since I said ""I do"" to my love @Brent_Blogs #NewlyWeds",Marriage,SimplyAndrea
Me & my beautiful wife @Loublou75 #newlyweds #bestdayever ,Marriage,andywozzawarren
Cozumel bound with my husband! #honeymoon #newlyweds ,Marriage,bhoward1994
"Just got upgraded to first class for our honeymoon! Thank you @united
#newlyweds",Marriage,MariaMichta
In holiday mode officially…,Holiday,katrinas_tweets
Florencia!!  #GrandHoliday,Holiday,_FiReX_
Beaut of a holiday with my wee family.....#goodtimes #fun #funnyfaces #myboy #grandholiday #love… ,Holiday,JanFyall
I can't wait to move in my new house because I can go swimming anytime I want,New House,peypey_bev
Got the keys to my new house today so exited to make it our home and move in @Lottie_Grist @hannah_stan1 @AbbieThomas93 ??????,New home purchase,oliviabuck
