Tweet,Event,Profile
i start a new job next week and i’m LITERALLY so stoked i cannot believe this is actual real life that i get to live.,New Job,thecultureofme
Starting my new job tomorrow being a contracted photog. It's been a long wait but I'm stoked!,New Job,Kirk_McGurk
sooo stoked for my new job?????????? ,New Job,AlleyGens
Actually really hyped on my new job. Stoked to have a steady full time schedule. Also In Between Days came on 5 mins into my shift ??,New Job,davidrzeszutko
I'll be on a plane 24 hours from now starting my new job. Seriously no one understands how stoked I am about this!!!!!,New Job,HannahPeteyyy
"Feeling sophisticated, stoked on starting my new job today ",New Job,acoxyy19
I got offered a promotion andddd I'm pretty sure I wanna take it ??#Blessed,Promotion,Nae_Nae5174
Who just got a promotion? This guy!! #thankful #blessed #movingonup,Promotion,MC_PhillieB
I feel so beyond blessed. Been working at my dream law firm for only a month and I already received a raise and a promotion! #GodisGood,Promotion,MelAlcalde_24
Blessed and highly favored. #promotion #yay?????? http://,Promotion,Kayla_Cash
I got my Promotion ???????? #blessed,Promotion,CabrinaArianna
I am so excited to announce that I have officially accepted a promotion at work. #lovewhatido #blessed…,Promotion,Matthew_Soto
Just got a promotion and a raise at work! Must be doing somethin right! #Blessed,Promotion,ltho192013
"My new son Gethin, his mum is a legend and I am one proud dad! #ProudDadMoment #newbaby",New child,jamhops75
Is it really only 16 days until I get to see my baby?! So excited! #newborn,New child,stu_min_
Just bought myself my dream car?? bye #ML350 hello #GLK350?? @MBUSA Thx fr the awesome service @EscondidoBenz #itsmine,Major Purchase - New Car,MirjamJaeger
"drive home I was so happy and proud of my first big purchase, I bought my dream car and have taken good care of it ever since",Major Purchase - New Car,Jagged_Pulse
"Bought my dream car today with hard work and persistence, not mom and dad's bank account. ????",Major Purchase - New Car,QuiggleMasen
my parents are divorcing now it's official,Divorce,sashue
Rip Grandpa love you ??????,Death of family member,_NyNyNyy
RIP grandpa. I can't believe you're gone but you're in such a better place now and I know you're looking down on me. ,Death of family member,morganzaic14
"This morning, God gained the greatest angel he could of. You were hero and mentor. RIP grandpa. I love you forever and always will???",Death of family member,speyer
RIP grandpa. Thanks for everything u ever did for me and our family in ur shortened time here. I'm gonna miss u so much! Rest in peace,Death of family member,Tsmitty24
