"title","url","name"
"Heterosexuals will get married for invalid reasons. They fucked up, think it'll save a relationship but doesn't, etc.","499434673094008832","Marriage"
"@unbotheredx giiiiirl aint gotta tell me twice, who fucks to the sound of the lady married to Mr. Brown yUCK","499434672905289729","Marriage"
"@decadeplan Dude. I'm married. I get it.","499434672452280321","Marriage"
"Many I know of that are the same age as me or younger, are havin' babies or getting engaged/married. I'm waitin' for the $ to look right 1st","499434664923525122","Marriage"
"i was getting in 40hrs of gameplay BEFORE marriage bae so y cut thy out AFTER marriage you must not wanna be married long bae❗❗","499434662549143552","Marriage"
"So once I'm done with school and I'm settled down I want to get married and have kids","499434661148647424","Marriage"
"dnw reading all these rumors of jessica about to get married soon","499434654147948544","Marriage"
"RT @_DreadsAndGolds: Everybody got babies and getting married 👶","499434652742873089","Marriage"
"Jagged Edge - let gets married😂👰💍","499434648502829056","Marriage"
"We ain't gettin no younger we might as well do it, let's just get married","499434644341669888","Marriage"
"@lainefono_ @DPolataivao how about getting married at la salles chapel like daddy mr hurst?????lol","499434633784606722","Marriage"
"I just wanna be out of college, starting my career and married. That'd be fun","499434632505745409","Marriage"
"@gracedrakedille oh and with derrick I thought he was married too!! But he's al about the so called virgin in the house","499434631469748225","Marriage"
"I'll be married by da time i'm 60, popping Viagra, &amp; raising chickens. 😎 #BossLife","499434625274765312","Marriage"
"All my friends are either married (with kids) or pursuing careers elsewheres.","499434609092726784","Marriage"
"RT @BigBrotherLeak: Donny about Christine: ""Have you ever seen a married woman touch that many guys?"" Nicole: ""Nope."" #BB16","499434599265869824","Marriage"
"Watching the reality show Married at First Sight. It's ok to marry a stranger but gay couples that love each other can't get married? Oh.","499434597386432515","Marriage"
"RT @hmitchellll: @Nisstastic dude that's crazzzzy that means we definitely have to get married I mean even if we don't want to we have to :/","499434592638492674","Marriage"
"RT @marcmumper22: I think it's gonna be so cool one day to get married and have a family","499434590046388224","Marriage"
"RT @ItsMikeyMurphy: Anytime my sister says a boy is cute or somethin I say in my most cliché Chinese dad voice ""NO BOYFRIEND TIL MARRIED""","499434589623160832","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/eqnUdDvg7y Remember FemiOlulana","499434586145697793","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/ZmUF9pHOl1 Remember FemiOlulana","499434582232403968","Marriage"
"i hate going to sleep nd waking up alone everyda im ready to be married.","499434580878061569","Marriage"
"#Spoiler by TeleBuzz #JodhaAkbar | Akbar &amp; Atifa TO GET MARRIED &amp; Some REVELATIONS......
http://t.co/vcu1wvUr9I","499434579439009794","Marriage"
"I luv white girls fam in 20 years I will be married to a white girl that teaches at a elementary school &amp; wears a size 6 in jeans","499434578394640384","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/5ig6ur5Z4x Remember FemiOlulana","499434578210082816","Marriage"
"“@dessrebis: cant wait to get married, buy a house, start my family and be successful 👪”","499434575916179456","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/3IXL5oxkJU Remember FemiOlulana","499434574019969024","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/jhZKVAuriC Remember FemiOlulana","499434569611759618","Marriage"
"RT @AmenaHoranYo_: WE'RE SO ALIKE ZEN LETS GET MARRIED ok
#MTVHottest One Direction http://t.co/Cb3mNibzKX","499434565900193792","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/xyWP6Pn8NM Remember FemiOlulana","499434565358723073","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/yGiLQjaU2U Remember FemiOlulana","499434561260883969","Marriage"
"RT @hofrench: I remember a company blood drive in NY. They solicited me, then changed their mind, amid awkward whispers, ""He's married to a…","499434558828576768","Marriage"
"RT @sensualgifs: basically me if i get married https://t.co/XjJ7YdHWLG","499434557423104000","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/7aEnYEX89b Remember FemiOlulana","499434557284687872","Marriage"
"RT @FemaleClyde_: When I'm married we having sex 5 times a week fyt","499434557008269313","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/VmTTfqzbKD Remember FemiOlulana","499434552750657537","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/2SXaRVG7hW Remember FemiOlulana","499434548237574144","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/K28AcS9UF6 Remember FemiOlulana","499434544517230592","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/6UroiXIsYD Remember FemiOlulana","499434540511682560","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/PsHEaIPuRP Remember FemiOlulana","499434536845844480","Marriage"
"RT @tinderfessions: Matched with a married chick in town for the night. Went straight to her hotel. Turns out she’s a squirter. #ThanksTind…","499434533721481216","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/1ERtpOtlJq Remember FemiOlulana","499434532559261696","Marriage"
"RT @Samawada_: So I gave my married neighbor my number cause he said he was gonna hook me up with a job and this is what happened 😭😭 http:/…","499434532349943808","Marriage"
"RT @DRiefel: Everyone on Facebook is getting married or dumping ice water on their head #dafuq #FbProbs #Millennials","499434528495403009","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/PKDJxtJgNL Remember FemiOlulana","499434528369152001","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/fnsOEqHp0B Remember FemiOlulana","499434526766952449","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/O7qPqJ8PIp Remember FemiOlulana","499434520576135168","Marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/36UmmhBaXa Remember FemiOlulana","499434515782062080","Marriage"
"I think about getting married more than anything else. I just love love ❤❤","499434514066595840","Marriage"
"Nigga we ain't getting married !","499434512250834944","Marriage"
"If I don't end up married to Zayn, I don't care what my future husband says but I'm naming our first son after Zayn.","499434510703140864","Marriage"
"@haley_xx__ not even married couples agree on everything 1000% of the time","499434499554680832","Marriage"
"RT @_CaliiTaughtYou: Yannas Mad Cause I Said "" Youre Married , You Cant Have Fun !"" 😂😂😂","499434493334519808","Marriage"
"Where do you see yourself in the next 10 years? — A lawyer, and married to her http://t.co/ikEEbPsk84","499434491522600960","Marriage"
"RT @charlxry: @liamlecalum @whiteboysdamn @honoluluke_ FLATTERED BC I MARRIED YOU WHEN I COULD HAVE BEEN A WINE DRINKING SPINSTER","499434491233202177","Marriage"
"Can we just get married? thanks. https://t.co/UHCJcaDToG","499434489987465216","Marriage"
"RT @educate_girls: Meet Padmini, who was married at the age of 4, but given a new life through #education https://t.co/Th27NQT4ZP http://t.…","499434487391211521","Marriage"
"What if I never get married.","499434479694254082","Marriage"
"@msnew_b00ty haha surprise I'm married","499434473641897985","Marriage"
"they should have married and have children","499434469804482561","Marriage"
"RT @ImJuiceDoe: I Lowkey Wanna Be Married With A Git In a Couple Years","499434463739523072","Marriage"
"How can adam levine be married... Like how... Ugh full of disappointments","499434455606784001","Marriage"
"RT @Chris_Rini: @Chris_Rini so me and @CErinGallow are now married","499434452662386688","Marriage"
"RT @SteveStfler: Congrats on getting married, its not everyday you decide to ruin your life","499434451953541121","Marriage"
"RT @Baabyswank: @wolfdownthatdik we can get married","499434447251734528","Marriage"
"“@KendallAlyssaa: When I get married I WILL have a Galia Lahav dress 😻👰 http://t.co/tO0TeBizDg” top right im crying😭😭","499434441706467328","Marriage"
"RT @I_M_Telling: Part one of a seven part series about a couple of young married #swingers. #explicit #sex #hardcore Enjoy!  Please RT http…","499434435138174978","Marriage"
